id,donorid,isanonymous,amount,dononame,frequency,comments,donodate
325,31,f,"$1,884.00",Lenore Dodson,monthly,mus. Proin vel,2018-07-27
326,3988,t,"$5,827.00",Denton Brewer,weekly,eleifend,2018-10-17
327,6039,f,"$7,130.00",Isabella Carroll,monthly,"Duis cursus, diam at pretium",2021-08-18
328,7246,t,$418.00,Sigourney Dixon,one-time,commodo,2022-11-26
329,3988,t,"$1,032.00",Erich Carney,weekly,"luctus vulputate, nisi sem",2018-02-02
330,1702,f,"$6,557.00",Maia Grimes,weekly,semper auctor. Mauris vel turpis.,2020-02-07
331,3051,t,"$9,339.00",Melodie Manning,one-time,sed orci lobortis augue,2016-12-04
332,5753,f,$556.00,Evelyn Griffith,one-time,et ultrices posuere cubilia,2017-05-24
333,7732,t,"$2,865.00",Leslie Kline,monthly,blandit enim,2021-03-27
334,1167,f,"$2,466.00",Dana Blake,one-time,velit. Aliquam,2019-09-01
335,1194,f,"$5,852.00",Plato Rich,weekly,non enim. Mauris quis turpis,2016-11-21
336,4511,f,"$7,530.00",Flynn Davis,weekly,magna.,2022-10-06
337,2137,f,$125.00,Dominic Mccullough,monthly,"Sed pharetra, felis eget",2020-09-16
338,3116,f,"$6,009.00",Echo Ramos,one-time,Nunc ac sem ut dolor,2018-03-22
339,4082,t,"$6,099.00",Kalia Williamson,weekly,parturient,2020-05-16
340,6975,t,"$7,286.00",Chaney Hale,weekly,"commodo at, libero.",2019-01-16
341,6823,f,"$3,018.00",Melodie Estrada,one-time,parturient,2016-12-29
342,5155,t,"$9,145.00",Bruno Merrill,weekly,pede.,2018-11-25
343,4245,t,"$4,078.00",Galvin Malone,one-time,turpis egestas. Fusce,2019-01-14
344,1655,t,"$2,627.00",Allegra Whitfield,weekly,"at, nisi. Cum",2019-12-27
345,5651,f,"$5,259.00",Gareth Hines,weekly,mauris blandit mattis.,2021-11-15
346,5340,f,"$7,671.00",Stacey Conway,one-time,interdum enim,2018-07-04
347,4312,f,"$7,698.00",Otto Underwood,weekly,"in, cursus et, eros. Proin",2016-10-21
348,6840,t,"$7,484.00",Gavin Walter,one-time,velit. Aliquam,2018-10-02
349,611,f,"$5,212.00",Shea Hardy,one-time,metus vitae velit egestas lacinia.,2022-04-21
350,7308,t,"$2,617.00",Macaulay Clayton,one-time,faucibus. Morbi,2021-05-15
351,5940,t,"$5,543.00",Natalie Skinner,weekly,,2021-03-06
352,6692,t,"$1,344.00",Colleen Robertson,one-time,"ullamcorper. Duis cursus,",2020-12-01
353,4742,f,$711.00,Basil Harding,one-time,,2021-08-09
354,721,t,"$9,574.00",Ahmed Moran,one-time,,2021-07-29
355,2429,f,"$8,262.00",Nadine Lucas,one-time,,2019-12-04
356,3187,t,"$8,478.00",Elijah Mullins,one-time,,2020-07-07
357,4222,f,"$9,263.00",Patricia Torres,monthly,facilisis,2019-02-09
358,5098,t,"$2,038.00",Justine Russell,weekly,euismod urna.,2017-06-25
359,1363,f,$17.00,Eric Vargas,monthly,ipsum dolor sit,2022-12-23
360,5855,f,"$7,114.00",Florence Joyner,one-time,et malesuada fames,2016-07-23
361,6674,f,"$9,152.00",Sebastian Farmer,one-time,"montes, nascetur ridiculus mus.",2017-08-02
362,1199,f,"$4,358.00",Galena Merrill,weekly,orci sem eget massa. Suspendisse,2018-11-17
363,1939,f,"$3,726.00",Daryl Tran,weekly,adipiscing lobortis,2022-01-05
364,6646,t,"$8,982.00",Kirestin Rush,weekly,dictum,2018-03-30
365,836,f,"$6,310.00",Brandon Cooke,weekly,"hendrerit a,",2020-07-23
366,6450,f,"$8,325.00",Ivor Randall,weekly,turpis. Aliquam,2021-05-07
367,72,t,"$1,856.00",Chandler Huffman,weekly,Nulla,2018-08-15
368,5851,t,"$3,638.00",Ferdinand Petersen,one-time,nibh,2018-07-12
369,6999,f,"$2,294.00",Quinn Nixon,monthly,"iaculis,",2017-01-04
370,990,f,"$6,960.00",Duncan Calhoun,one-time,faucibus orci luctus et ultrices,2019-02-23
371,3945,f,"$2,658.00",Gail Todd,weekly,tincidunt nibh.,2018-07-02
372,6508,f,"$2,698.00",Kelly Gonzalez,one-time,turpis egestas.,2020-12-17
373,2677,t,"$7,818.00",Lucian Cobb,one-time,consequat,2020-06-05
374,3866,t,"$5,513.00",Georgia Valdez,weekly,,2017-06-05
375,2348,t,"$8,298.00",Moana Franks,weekly,"ornare,",2020-03-06
376,6220,f,"$1,328.00",Illiana Cotton,monthly,nunc ac mattis,2018-07-03
377,339,t,"$7,064.00",Raven Riggs,weekly,"tempus non, lacinia at,",2016-07-14
378,1735,t,"$3,991.00",Thaddeus Fuller,weekly,"eleifend, nunc risus",2018-08-10
379,4527,f,"$5,471.00",Eric Herring,monthly,est ac,2017-06-15
380,4751,f,"$3,493.00",Wanda Le,monthly,interdum enim,2019-02-19
381,8091,f,"$4,930.00",Quail Sykes,monthly,tortor,2019-07-07
382,1933,t,"$2,956.00",Charissa Harmon,monthly,"pellentesque, tellus sem",2020-01-03
383,7043,t,"$8,756.00",Rana Morrison,monthly,amet ornare lectus justo,2016-03-09
384,4814,f,"$1,594.00",Jordan Simon,weekly,"eleifend nec, malesuada",2016-06-10
385,4443,t,"$1,968.00",Abel Wade,weekly,,2022-08-04
386,2204,f,"$2,332.00",Amy Mann,weekly,Sed auctor,2020-10-12
387,2522,f,"$2,297.00",Kiayada Mcfarland,monthly,sodales elit,2021-03-23
388,3146,f,"$7,126.00",Chaney Fox,monthly,Nulla facilisi.,2020-08-19
389,3663,t,"$2,938.00",Emmanuel Good,one-time,augue ut lacus. Nulla,2022-02-21
390,5372,t,"$4,098.00",Lysandra Vega,one-time,Morbi sit amet massa.,2017-02-24
391,5001,t,"$7,805.00",Amanda Atkinson,one-time,metus facilisis,2022-02-01
392,4764,t,$699.00,Donovan Cole,monthly,,2020-08-21
393,4266,t,"$9,152.00",Nash Mcneil,one-time,"et, magna. Praesent",2018-10-10
394,7707,t,"$6,001.00",Kimberley Jackson,one-time,"malesuada vel, venenatis vel,",2018-07-10
395,4256,f,"$7,086.00",Madaline Levy,weekly,faucibus. Morbi,2019-03-03
396,3976,f,"$8,639.00",Melodie Noble,one-time,,2021-11-14
397,613,t,"$1,468.00",Honorato Romero,weekly,Donec consectetuer,2020-02-02
398,6861,t,"$9,118.00",Demetria Newman,weekly,,2021-03-25
399,4983,f,"$1,256.00",Fritz Peck,monthly,lorem eu metus. In,2019-01-08
400,118,f,"$4,488.00",Chaney Hickman,weekly,turpis,2016-02-06
401,3275,f,"$7,494.00",Norman Moody,one-time,"a, facilisis non,",2019-07-22
402,7104,f,"$1,827.00",Cleo Mills,weekly,Praesent,2016-10-23
403,1700,t,"$4,134.00",Nicole Duncan,weekly,,2020-10-22
404,4421,f,"$2,290.00",Judah Hebert,one-time,augue. Sed molestie.,2020-11-06
405,5800,f,"$3,935.00",Rebekah Wooten,monthly,Donec,2019-04-22
406,4243,f,"$5,222.00",Vivian Hall,one-time,"non, bibendum",2022-12-22
407,7168,f,"$3,667.00",Tarik Casey,one-time,Lorem ipsum dolor,2016-10-08
408,2975,f,"$2,532.00",Hunter Pace,one-time,eu dolor egestas rhoncus.,2018-02-15
409,5897,t,$94.00,Jacqueline Carter,monthly,faucibus orci luctus et ultrices,2019-10-14
410,919,t,"$3,691.00",Autumn Velasquez,weekly,nisi,2017-10-23
411,7617,f,"$8,447.00",Aladdin Cox,weekly,,2016-11-14
412,3631,t,"$6,096.00",Margaret Grimes,monthly,natoque penatibus,2020-11-04
413,1820,t,"$3,566.00",Quynn Davenport,weekly,aliquet odio. Etiam,2019-02-16
414,6666,f,"$4,895.00",Wilma Lane,one-time,"Donec elementum,",2019-07-06
415,5257,t,"$1,847.00",Beau Palmer,monthly,vitae odio sagittis semper.,2020-04-07
416,7768,f,$799.00,Demetria Crane,weekly,diam dictum sapien. Aenean,2019-01-18
417,7191,t,"$1,733.00",Amal Blanchard,weekly,Pellentesque habitant,2017-12-18
418,7993,t,"$3,237.00",Ishmael Jennings,weekly,ullamcorper,2022-12-18
419,6187,t,"$7,061.00",Bevis Mathews,one-time,dui nec urna,2020-09-05
420,3919,f,"$1,828.00",Kirestin Dodson,one-time,"vitae, orci. Phasellus",2020-06-11
421,2240,t,"$7,570.00",Sean Cervantes,one-time,,2019-08-12
422,4030,t,"$1,535.00",Jelani Hines,weekly,interdum enim non nisi.,2019-08-02
423,7546,f,"$2,426.00",Yardley Norman,weekly,,2021-12-02
424,4780,f,"$8,963.00",Jaime Castillo,monthly,elit. Nulla,2019-12-23
425,6167,t,"$4,281.00",Margaret Franks,monthly,"euismod ac,",2023-01-14
426,7919,t,"$1,991.00",Herrod Price,monthly,Duis mi,2019-09-30
427,3452,f,"$2,384.00",Kirestin Richard,weekly,elit sed,2021-01-09
428,5207,f,"$1,155.00",Shafira Best,weekly,risus. In,2018-09-09
429,3845,f,$127.00,Hiram Faulkner,weekly,adipiscing elit. Curabitur sed,2016-08-28
430,1747,t,"$7,453.00",Kennedy Love,monthly,dictum magna. Ut tincidunt orci,2017-07-24
431,1852,t,"$3,158.00",Gary Houston,one-time,semper,2017-03-08
432,3825,f,$319.00,Oprah Moon,one-time,dictum,2019-07-30
433,5038,f,"$6,910.00",Tucker Ortega,weekly,"sapien, gravida non, sollicitudin",2016-07-22
434,3914,t,"$1,315.00",Grady Reeves,monthly,"montes, nascetur ridiculus mus.",2020-07-25
435,6249,f,"$8,756.00",Martena Johnston,one-time,"Integer eu lacus. Quisque imperdiet,",2020-10-25
436,2536,f,"$2,026.00",Tyrone Roman,monthly,In tincidunt,2017-04-24
437,999,t,"$1,061.00",Quinn Johnson,one-time,,2022-07-20
438,673,f,"$5,432.00",TaShya Rocha,monthly,ac mattis velit justo nec,2022-09-16
439,7033,t,"$4,809.00",Abdul Sanders,one-time,,2020-06-28
440,1307,t,"$4,515.00",Nasim Gallagher,weekly,dolor. Fusce,2021-02-27
441,1160,f,"$7,000.00",Thomas Rivas,one-time,ipsum. Suspendisse sagittis. Nullam,2022-03-16
442,7943,f,"$5,962.00",Anthony Alford,weekly,quam. Curabitur,2018-02-23
443,2073,f,"$1,336.00",Brielle Baird,one-time,"imperdiet non, vestibulum",2016-08-10
444,7059,t,$147.00,Roary York,monthly,augue ut,2019-12-01
445,259,t,"$4,289.00",Chase Hale,monthly,velit. Aliquam nisl. Nulla,2022-07-05
446,1438,f,"$1,037.00",Allistair Talley,monthly,habitant morbi tristique senectus,2017-01-14
447,4707,t,"$1,554.00",Ruby Griffin,weekly,metus. In,2017-10-14
448,235,f,"$2,912.00",Fuller Graves,one-time,vitae risus.,2019-10-30
449,4561,t,"$3,191.00",Brenna Hobbs,weekly,"sapien, cursus",2022-09-19
450,1648,t,"$6,054.00",Savannah Phillips,weekly,"sapien. Cras dolor dolor,",2021-10-22
451,1982,f,"$6,105.00",Tanner Grant,weekly,Cras,2022-09-25
452,5191,t,"$2,799.00",Isabelle Owens,one-time,"ac,",2020-04-10
453,4255,t,"$5,841.00",Iona Chaney,weekly,Sed malesuada,2016-10-18
454,2062,t,"$1,375.00",Derek Shaffer,one-time,Sed molestie.,2020-08-04
455,7022,f,"$6,197.00",Calista Chambers,weekly,eu eros.,2018-11-25
456,7299,t,"$9,449.00",Isabella Koch,monthly,ornare sagittis felis. Donec,2018-10-16
457,4831,t,"$4,922.00",Fleur Sloan,weekly,nulla. Cras eu tellus eu,2017-03-05
458,3939,f,$334.00,Magee Casey,weekly,nisi. Mauris nulla.,2016-06-02
459,7498,f,"$8,617.00",Iris Holmes,one-time,pharetra. Nam,2017-07-14
460,1029,t,"$5,443.00",Noel Lowe,one-time,vel quam dignissim pharetra. Nam,2020-05-28
461,1797,t,"$8,987.00",Malcolm Duke,one-time,"parturient montes, nascetur ridiculus",2019-09-12
462,3283,t,"$5,610.00",Tanek Hudson,weekly,"elit elit fermentum risus,",2019-02-21
463,3814,f,"$1,963.00",Ginger Floyd,monthly,Quisque tincidunt pede,2017-09-16
464,7319,f,"$2,714.00",Michael Avila,monthly,pede. Praesent eu dui.,2017-12-02
465,1208,f,$798.00,Kyla Villarreal,weekly,nisi. Mauris nulla. Integer,2020-04-23
466,4740,f,"$2,177.00",Fatima Freeman,weekly,"id, erat. Etiam vestibulum massa",2019-05-07
467,2391,f,"$4,931.00",Daria Austin,weekly,"et, commodo at,",2019-07-28
468,1156,f,"$3,964.00",Griffin Carr,weekly,est. Nunc,2019-01-18
469,6480,f,"$3,907.00",Brett Woods,weekly,"dolor. Fusce mi lorem,",2018-09-03
470,3757,f,$59.00,Gabriel Valenzuela,weekly,fringilla cursus purus. Nullam,2023-01-15
471,3290,f,"$3,428.00",Zia Travis,one-time,"eleifend, nunc risus varius orci,",2018-12-31
472,150,f,"$2,371.00",Rogan Paul,one-time,eros. Proin ultrices.,2021-07-08
473,6747,f,$594.00,Mannix Delaney,weekly,velit. Pellentesque ultricies,2017-03-08
474,2602,f,"$7,770.00",Ignatius Miles,weekly,pede et risus. Quisque,2016-02-24
475,5725,f,"$7,814.00",Mason Ellis,one-time,Quisque nonummy,2019-12-27
476,1515,t,"$6,367.00",Chava Wilcox,weekly,,2022-01-14
477,1650,f,"$2,425.00",Tanisha Day,one-time,"sodales purus, in molestie",2020-05-15
478,6008,t,"$9,788.00",Mona Austin,monthly,"in, tempus eu,",2016-04-08
479,618,t,"$8,182.00",Harrison Contreras,weekly,,2020-03-23
480,5830,f,"$4,741.00",Wayne Nash,weekly,inceptos hymenaeos. Mauris ut quam,2018-12-18
481,5418,t,"$1,867.00",Lacota Gregory,weekly,metus. Aliquam erat,2017-09-08
482,4358,f,"$4,926.00",Kirestin Howell,weekly,felis. Donec,2018-02-08
483,3766,t,"$9,166.00",Gregory Miranda,weekly,Aliquam gravida,2019-07-25
484,2076,f,"$1,013.00",Chaim Daugherty,one-time,velit. Sed malesuada augue,2021-12-02
485,4621,f,"$1,857.00",Maryam Becker,monthly,Proin mi. Aliquam gravida,2019-07-09
486,6644,f,"$7,297.00",Tate Hobbs,monthly,nunc sed,2020-02-27
487,3457,t,"$1,444.00",Ashton Mcknight,monthly,Nam consequat dolor,2019-10-20
488,8003,t,"$2,154.00",Cullen Wise,weekly,Sed,2019-04-20
489,5215,f,"$8,000.00",TaShya Sullivan,weekly,"lacus. Nulla tincidunt, neque",2020-01-20
490,7503,f,"$1,038.00",Chelsea Huffman,monthly,lorem,2020-10-02
491,1311,f,"$4,045.00",Thane Meadows,weekly,lacus pede sagittis,2020-03-10
492,2252,t,"$7,829.00",Candice Shannon,weekly,"rutrum, justo.",2017-01-07
493,6962,t,"$9,611.00",Barry Erickson,weekly,sed,2017-03-04
494,161,t,"$8,168.00",Brian Parsons,weekly,lacus. Ut,2022-09-05
495,5154,f,"$1,021.00",Iola Cotton,weekly,"lectus ante dictum mi, ac",2019-06-10
496,6247,t,"$8,570.00",Ferris Henry,monthly,commodo ipsum. Suspendisse,2016-02-05
497,4479,t,"$5,026.00",August Monroe,monthly,a neque. Nullam ut nisi,2016-12-07
498,4027,t,"$8,812.00",Alexa Mcmillan,monthly,,2017-03-06
499,3086,f,"$7,295.00",Nissim Crane,one-time,lacus. Aliquam rutrum,2017-01-22
